C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_19.32.46_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
--------------------------------------------------------------------------------
538   | - Compute Pass #1                              | 1-36   | 2543.85417
7     |  \- Dispatch(1152, 2, 1)                       | 1      | 331.04167
16    |   - Dispatch(1152, 1, 1)                       | 2      | 438.85417
25    |   - Dispatch(1152, 1, 1)                       | 3      | 59.63542
34    |   - Dispatch(6, 1, 1)                          | 4      | 120.88542
43    |   - Dispatch(432, 1, 1)                        | 5      | 59.79167
49    |   - Dispatch(432, 1, 1)                        | 6      | 25.3125
58    |   - Dispatch(1, 1, 192)                        | 7      | 46.30208
67    |   - Dispatch(128, 10, 1)                       | 8      | 255.26042
76    |   - Dispatch(128, 1, 1)                        | 9      | 230.36458
85    |   - Dispatch(128, 1, 1)                        | 10     | 21.45833
94    |   - Dispatch(16, 1, 1)                         | 11     | 35.9375
103   |   - Dispatch(128, 1, 1)                        | 12     | 26.97917
109   |   - Dispatch(128, 1, 1)                        | 13     | 14.42708
118   |   - Dispatch(1, 1, 512)                        | 14     | 35.88542
127   |   - Dispatch(8, 2, 1)                          | 15     | 73.125
136   |   - Dispatch(15, 1, 1)                         | 16     | 14.89583
145   |   - Dispatch(6, 2, 1)                          | 17     | 46.09375
154   |   - Dispatch(11, 1, 1)                         | 18     | 16.35417
163   |   - Dispatch(1, 2, 1)                          | 19     | 74.84375
172   |   - Dispatch(2, 1, 1)                          | 20     | 15.15625
181   |   - Dispatch(2, 1, 1)                          | 21     | 34.63542
190   |   - Dispatch(1, 1, 1)                          | 22     | 38.17708
196   |   - Dispatch(1, 1, 1)                          | 23     | 12.08333
205   |   - Dispatch(1, 1, 1)                          | 24     | 22.55208
215   |   - Dispatch(1, 2, 1)                          | 25     | 14.11458
224   |   - Dispatch(10, 1, 1)                         | 26     | 22.34375
233   |   - Dispatch(6, 2, 1)                          | 27     | 21.5625
242   |   - Dispatch(1, 6, 1)                          | 28     | 26.71875
251   |   - Dispatch(11, 1, 1)                         | 29     | 24.01042
260   |   - Dispatch(84, 1, 1)                         | 30     | 31.82292
269   |   - Dispatch(8, 2, 1)                          | 31     | 49.0625
278   |   - Dispatch(2, 2, 1)                          | 32     | 80.00
287   |   - Dispatch(15, 1, 1)                         | 33     | 31.19792
296   |   - Dispatch(120, 1, 1)                        | 34     | 48.38542
305   |   - Dispatch(16, 2, 1)                         | 35     | 79.58333
314   |   - Dispatch(2, 4, 1)                          | 36     | 65.00
317   | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 37     | 42.34375
539   | - Compute Pass #2                              | 38-46  | 1473.59375
324   |  \- Dispatch(1, 1, 512)                        | 38     | 31.30208
333   |   - Dispatch(128, 1, 1)                        | 39     | 23.85417
342   |   - Dispatch(16, 1, 1)                         | 40     | 40.05208
351   |   - Dispatch(128, 1, 1)                        | 41     | 30.26042
360   |   - Dispatch(128, 1, 1)                        | 42     | 48.85417
369   |   - Dispatch(10, 1, 1)                         | 43     | 762.76042
378   |   - Dispatch(16, 1, 1)                         | 44     | 28.07292
387   |   - Dispatch(32, 3, 1)                         | 45     | 336.66667
396   |   - Dispatch(108, 1, 1)                        | 46     | 171.77083
399   | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 47     | 30.67708
540   | - Compute Pass #3                              | 48-68  | 5323.22917
406   |  \- Dispatch(1, 1, 192)                        | 48     | 41.19792
415   |   - Dispatch(432, 1, 1)                        | 49     | 35.98958
424   |   - Dispatch(6, 1, 1)                          | 50     | 123.54167
433   |   - Dispatch(432, 1, 1)                        | 51     | 64.89583
442   |   - Dispatch(1152, 1, 1)                       | 52     | 109.0625
451   |   - Dispatch(2, 1, 1)                          | 53     | 4611.66667
460   |   - Dispatch(6, 1, 1)                          | 54     | 76.19792
469   |   - Dispatch(1, 1, 1)                          | 55     | 15.52083
474   |   - Dispatch(1, 1, 1)                          | 56     | 15.26042
479   |   - Dispatch(1, 1, 1)                          | 57     | 30.78125
484   |   - Dispatch(1, 1, 1)                          | 58     | 14.47917
489   |   - Dispatch(1, 1, 1)                          | 59     | 16.30208
494   |   - Dispatch(1, 1, 1)                          | 60     | 15.78125
499   |   - Dispatch(10, 1, 1)                         | 61     | 16.92708
504   |   - Dispatch(1, 1, 1)                          | 62     | 15.78125
509   |   - Dispatch(120, 1, 1)                        | 63     | 26.40625
514   |   - Dispatch(1, 1, 1)                          | 64     | 19.01042
519   |   - Dispatch(40, 1, 1)                         | 65     | 21.09375
524   |   - Dispatch(1, 1, 1)                          | 66     | 25.9375
529   |   - Dispatch(4, 1, 1)                          | 67     | 13.90625
534   |   - Dispatch(1, 1, 1)                          | 68     | 13.48958
537   | - End of Capture                               | 69     | 0.00
