C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_20.08.00_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
--------------------------------------------------------------------------------
538   | - Compute Pass #1                              | 1-36   | 3056.71875
7     |  \- Dispatch(1152, 2, 1)                       | 1      | 328.22917
16    |   - Dispatch(1152, 1, 1)                       | 2      | 400.88542
25    |   - Dispatch(1152, 1, 1)                       | 3      | 63.75
34    |   - Dispatch(6, 1, 1)                          | 4      | 126.30208
43    |   - Dispatch(432, 1, 1)                        | 5      | 59.0625
49    |   - Dispatch(432, 1, 1)                        | 6      | 23.90625
58    |   - Dispatch(1, 1, 192)                        | 7      | 45.3125
67    |   - Dispatch(128, 10, 1)                       | 8      | 200.26042
76    |   - Dispatch(128, 1, 1)                        | 9      | 399.0625
85    |   - Dispatch(128, 1, 1)                        | 10     | 25.46875
94    |   - Dispatch(16, 1, 1)                         | 11     | 45.10417
103   |   - Dispatch(128, 1, 1)                        | 12     | 33.59375
109   |   - Dispatch(128, 1, 1)                        | 13     | 31.71875
118   |   - Dispatch(1, 1, 512)                        | 14     | 35.10417
127   |   - Dispatch(8, 2, 1)                          | 15     | 83.28125
136   |   - Dispatch(15, 1, 1)                         | 16     | 17.34375
145   |   - Dispatch(6, 2, 1)                          | 17     | 53.69792
154   |   - Dispatch(11, 1, 1)                         | 18     | 17.23958
163   |   - Dispatch(1, 2, 1)                          | 19     | 122.50
172   |   - Dispatch(2, 1, 1)                          | 20     | 16.97917
181   |   - Dispatch(2, 1, 1)                          | 21     | 144.47917
190   |   - Dispatch(1, 1, 1)                          | 22     | 39.6875
196   |   - Dispatch(1, 1, 1)                          | 23     | 14.94792
205   |   - Dispatch(1, 1, 1)                          | 24     | 30.57292
215   |   - Dispatch(1, 2, 1)                          | 25     | 17.44792
224   |   - Dispatch(10, 1, 1)                         | 26     | 27.23958
233   |   - Dispatch(6, 2, 1)                          | 27     | 28.90625
242   |   - Dispatch(1, 6, 1)                          | 28     | 32.65625
251   |   - Dispatch(11, 1, 1)                         | 29     | 28.125
260   |   - Dispatch(84, 1, 1)                         | 30     | 55.52083
269   |   - Dispatch(8, 2, 1)                          | 31     | 69.47917
278   |   - Dispatch(2, 2, 1)                          | 32     | 192.13542
287   |   - Dispatch(15, 1, 1)                         | 33     | 35.625
296   |   - Dispatch(120, 1, 1)                        | 34     | 36.09375
305   |   - Dispatch(16, 2, 1)                         | 35     | 109.47917
314   |   - Dispatch(2, 4, 1)                          | 36     | 65.52083
317   | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 37     | 17.29167
539   | - Compute Pass #2                              | 38-46  | 1540.15625
324   |  \- Dispatch(1, 1, 512)                        | 38     | 40.3125
333   |   - Dispatch(128, 1, 1)                        | 39     | 37.91667
342   |   - Dispatch(16, 1, 1)                         | 40     | 57.1875
351   |   - Dispatch(128, 1, 1)                        | 41     | 44.47917
360   |   - Dispatch(128, 1, 1)                        | 42     | 28.95833
369   |   - Dispatch(10, 1, 1)                         | 43     | 735.05208
378   |   - Dispatch(16, 1, 1)                         | 44     | 30.41667
387   |   - Dispatch(32, 3, 1)                         | 45     | 377.76042
396   |   - Dispatch(108, 1, 1)                        | 46     | 188.07292
399   | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 47     | 35.15625
540   | - Compute Pass #3                              | 48-68  | 2863.54167
406   |  \- Dispatch(1, 1, 192)                        | 48     | 34.32292
415   |   - Dispatch(432, 1, 1)                        | 49     | 35.72917
424   |   - Dispatch(6, 1, 1)                          | 50     | 122.76042
433   |   - Dispatch(432, 1, 1)                        | 51     | 90.52083
442   |   - Dispatch(1152, 1, 1)                       | 52     | 57.55208
451   |   - Dispatch(25, 6, 1)                         | 53     | 2204.94792
460   |   - Dispatch(6, 1, 1)                          | 54     | 84.58333
469   |   - Dispatch(1, 1, 1)                          | 55     | 15.10417
474   |   - Dispatch(1, 1, 1)                          | 56     | 16.35417
479   |   - Dispatch(1, 1, 1)                          | 57     | 16.14583
484   |   - Dispatch(1, 1, 1)                          | 58     | 14.63542
489   |   - Dispatch(1, 1, 1)                          | 59     | 14.94792
494   |   - Dispatch(1, 1, 1)                          | 60     | 13.95833
499   |   - Dispatch(10, 1, 1)                         | 61     | 14.94792
504   |   - Dispatch(1, 1, 1)                          | 62     | 17.60417
509   |   - Dispatch(120, 1, 1)                        | 63     | 29.27083
514   |   - Dispatch(1, 1, 1)                          | 64     | 20.41667
519   |   - Dispatch(40, 1, 1)                         | 65     | 18.125
524   |   - Dispatch(1, 1, 1)                          | 66     | 13.4375
529   |   - Dispatch(4, 1, 1)                          | 67     | 14.53125
534   |   - Dispatch(1, 1, 1)                          | 68     | 13.64583
537   | - End of Capture                               | 69     | 0.00
