C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_20.27.32_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
--------------------------------------------------------------------------------
1713  | - Compute Pass #1                              | 1-138  | 129090.98958
7     |  \- Dispatch(2048, 2, 1)                       | 1      | 633.69792
16    |   - Dispatch(2048, 1, 1)                       | 2      | 901.14583
25    |   - Dispatch(2048, 1, 1)                       | 3      | 136.92708
31    |   - Dispatch(2048, 1, 1)                       | 4      | 72.76042
40    |   - Dispatch(2048, 9, 1)                       | 5      | 3166.04167
49    |   - Dispatch(2048, 1, 1)                       | 6      | 2529.63542
58    |   - Dispatch(2048, 1, 1)                       | 7      | 57.23958
64    |   - Dispatch(2048, 1, 1)                       | 8      | 32.96875
73    |   - Dispatch(4, 4, 32)                         | 9      | 40.41667
82    |   - Dispatch(512, 9, 1)                        | 10     | 507.96875
91    |   - Dispatch(512, 2, 1)                        | 11     | 630.57292
100   |   - Dispatch(512, 2, 1)                        | 12     | 34.11458
106   |   - Dispatch(1024, 1, 1)                       | 13     | 29.58333
115   |   - Dispatch(512, 18, 1)                       | 14     | 706.45833
124   |   - Dispatch(512, 2, 1)                        | 15     | 1338.07292
133   |   - Dispatch(512, 2, 1)                        | 16     | 32.55208
139   |   - Dispatch(1024, 1, 1)                       | 17     | 18.69792
148   |   - Dispatch(2, 2, 64)                         | 18     | 25.57292
157   |   - Dispatch(128, 18, 1)                       | 19     | 251.40625
166   |   - Dispatch(32, 1, 1)                         | 20     | 498.95833
175   |   - Dispatch(128, 4, 1)                        | 21     | 20.10417
181   |   - Dispatch(512, 1, 1)                        | 22     | 13.07292
190   |   - Dispatch(128, 36, 1)                       | 23     | 334.375
199   |   - Dispatch(32, 1, 1)                         | 24     | 1098.22917
208   |   - Dispatch(128, 4, 1)                        | 25     | 21.875
214   |   - Dispatch(512, 1, 1)                        | 26     | 12.76042
223   |   - Dispatch(1, 1, 128)                        | 27     | 19.0625
232   |   - Dispatch(32, 36, 1)                        | 28     | 86.71875
241   |   - Dispatch(8, 2, 1)                          | 29     | 800.625
250   |   - Dispatch(32, 8, 1)                         | 30     | 14.16667
256   |   - Dispatch(256, 1, 1)                        | 31     | 9.21875
265   |   - Dispatch(32, 72, 1)                        | 32     | 280.57292
274   |   - Dispatch(8, 2, 1)                          | 33     | 1295.83333
283   |   - Dispatch(32, 8, 1)                         | 34     | 14.79167
289   |   - Dispatch(256, 1, 1)                        | 35     | 9.79167
298   |   - Dispatch(1024, 1, 1)                       | 36     | 73.90625
307   |   - Dispatch(1024, 1, 1)                       | 37     | 42.08333
316   |   - Dispatch(512, 1, 1)                        | 38     | 28.02083
325   |   - Dispatch(128, 108, 1)                      | 39     | 997.60417
