C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_20.35.51_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
--------------------------------------------------------------------------------
1713  | - Compute Pass #1                              | 1-138  | 652264.01042
7     |  \- Dispatch(2048, 2, 1)                       | 1      | 267.86458
16    |   - Dispatch(2048, 1, 1)                       | 2      | 365.05208
25    |   - Dispatch(2048, 1, 1)                       | 3      | 63.33333
31    |   - Dispatch(2048, 1, 1)                       | 4      | 109.01042
40    |   - Dispatch(2048, 9, 1)                       | 5      | 1660.52083
49    |   - Dispatch(2048, 1, 1)                       | 6      | 1724.27083
58    |   - Dispatch(2048, 1, 1)                       | 7      | 62.23958
64    |   - Dispatch(2048, 1, 1)                       | 8      | 38.69792
73    |   - Dispatch(4, 4, 32)                         | 9      | 60.72917
82    |   - Dispatch(512, 9, 1)                        | 10     | 356.66667
91    |   - Dispatch(512, 2, 1)                        | 11     | 734.01042
100   |   - Dispatch(512, 2, 1)                        | 12     | 60.88542
106   |   - Dispatch(1024, 1, 1)                       | 13     | 24.01042
115   |   - Dispatch(512, 18, 1)                       | 14     | 1013.07292
124   |   - Dispatch(512, 2, 1)                        | 15     | 1430.67708
133   |   - Dispatch(512, 2, 1)                        | 16     | 35.00
139   |   - Dispatch(1024, 1, 1)                       | 17     | 21.77083
148   |   - Dispatch(2, 2, 64)                         | 18     | 42.44792
157   |   - Dispatch(128, 18, 1)                       | 19     | 180.9375
166   |   - Dispatch(32, 1, 1)                         | 20     | 452.91667
175   |   - Dispatch(128, 4, 1)                        | 21     | 20.78125
181   |   - Dispatch(512, 1, 1)                        | 22     | 16.61458
190   |   - Dispatch(128, 36, 1)                       | 23     | 466.82292
199   |   - Dispatch(32, 1, 1)                         | 24     | 901.04167
208   |   - Dispatch(128, 4, 1)                        | 25     | 21.35417
214   |   - Dispatch(512, 1, 1)                        | 26     | 13.07292
223   |   - Dispatch(1, 1, 128)                        | 27     | 23.85417
232   |   - Dispatch(32, 36, 1)                        | 28     | 118.4375
241   |   - Dispatch(8, 2, 1)                          | 29     | 542.50
250   |   - Dispatch(32, 8, 1)                         | 30     | 14.42708
256   |   - Dispatch(256, 1, 1)                        | 31     | 9.21875
265   |   - Dispatch(32, 72, 1)                        | 32     | 167.44792
274   |   - Dispatch(8, 2, 1)                          | 33     | 1051.5625
283   |   - Dispatch(32, 8, 1)                         | 34     | 13.95833
289   |   - Dispatch(256, 1, 1)                        | 35     | 9.89583
298   |   - Dispatch(1024, 1, 1)                       | 36     | 67.39583
307   |   - Dispatch(1024, 1, 1)                       | 37     | 45.88542
316   |   - Dispatch(512, 1, 1)                        | 38     | 48.48958
325   |   - Dispatch(128, 108, 1)                      | 39     | 1049.89583
334   |   - Dispatch(32, 1, 1)                         | 40     | 2868.75
343   |   - Dispatch(128, 4, 1)                        | 41     | 20.98958
349   |   - Dispatch(512, 1, 1)                        | 42     | 17.23958
358   |   - Dispatch(128, 36, 1)                       | 43     | 333.75
367   |   - Dispatch(32, 1, 1)                         | 44     | 938.4375
376   |   - Dispatch(128, 4, 1)                        | 45     | 21.5625
382   |   - Dispatch(512, 1, 1)                        | 46     | 13.69792
391   |   - Dispatch(2048, 1, 1)                       | 47     | 131.61458
400   |   - Dispatch(2048, 1, 1)                       | 48     | 78.02083
409   |   - Dispatch(1024, 1, 1)                       | 49     | 56.71875
