C:/Users/user/Documents/directx_exp/ss.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
--------------------------------------------------------------------------------
1802  | - Compute Pass #1                              | 1-138  | 118362.03125
7     |  \- Dispatch(2048, 2, 1)                       | 1      | 256.25
16    |   - Dispatch(2048, 1, 1)                       | 2      | 380.98958
25    |   - Dispatch(2048, 1, 1)                       | 3      | 73.90625
31    |   - Dispatch(2048, 1, 1)                       | 4      | 40.625
40    |   - Dispatch(2048, 9, 1)                       | 5      | 1391.5625
49    |   - Dispatch(2048, 1, 1)                       | 6      | 1362.60417
58    |   - Dispatch(2048, 1, 1)                       | 7      | 63.17708
64    |   - Dispatch(2048, 1, 1)                       | 8      | 45.88542
73    |   - Dispatch(4, 4, 32)                         | 9      | 42.23958
82    |   - Dispatch(512, 9, 1)                        | 10     | 360.41667
91    |   - Dispatch(512, 2, 1)                        | 11     | 665.72917
100   |   - Dispatch(512, 2, 1)                        | 12     | 37.70833
106   |   - Dispatch(1024, 1, 1)                       | 13     | 23.48958
115   |   - Dispatch(512, 18, 1)                       | 14     | 663.07292
124   |   - Dispatch(512, 2, 1)                        | 15     | 1265.46875
133   |   - Dispatch(512, 2, 1)                        | 16     | 35.3125
139   |   - Dispatch(1024, 1, 1)                       | 17     | 19.94792
148   |   - Dispatch(2, 2, 64)                         | 18     | 24.84375
157   |   - Dispatch(128, 18, 1)                       | 19     | 169.63542
166   |   - Dispatch(32, 1, 1)                         | 20     | 466.5625
175   |   - Dispatch(128, 4, 1)                        | 21     | 20.3125
181   |   - Dispatch(512, 1, 1)                        | 22     | 17.13542
190   |   - Dispatch(128, 36, 1)                       | 23     | 333.64583
199   |   - Dispatch(32, 1, 1)                         | 24     | 891.45833
208   |   - Dispatch(128, 4, 1)                        | 25     | 19.73958
214   |   - Dispatch(512, 1, 1)                        | 26     | 15.26042
223   |   - Dispatch(1, 1, 128)                        | 27     | 20.57292
232   |   - Dispatch(32, 36, 1)                        | 28     | 103.22917
241   |   - Dispatch(8, 2, 1)                          | 29     | 537.96875
250   |   - Dispatch(32, 8, 1)                         | 30     | 19.01042
256   |   - Dispatch(256, 1, 1)                        | 31     | 9.47917
265   |   - Dispatch(32, 72, 1)                        | 32     | 182.44792
274   |   - Dispatch(8, 2, 1)                          | 33     | 1033.33333
283   |   - Dispatch(32, 8, 1)                         | 34     | 13.85417
289   |   - Dispatch(256, 1, 1)                        | 35     | 10.20833
298   |   - Dispatch(1024, 1, 1)                       | 36     | 63.90625
307   |   - Dispatch(1024, 1, 1)                       | 37     | 43.28125
316   |   - Dispatch(512, 1, 1)                        | 38     | 31.71875
325   |   - Dispatch(128, 108, 1)                      | 39     | 998.59375
334   |   - Dispatch(32, 1, 1)                         | 40     | 2593.02083
343   |   - Dispatch(128, 4, 1)                        | 41     | 21.19792
349   |   - Dispatch(512, 1, 1)                        | 42     | 12.91667
358   |   - Dispatch(128, 36, 1)                       | 43     | 402.55208
367   |   - Dispatch(32, 1, 1)                         | 44     | 898.59375
376   |   - Dispatch(128, 4, 1)                        | 45     | 23.17708
382   |   - Dispatch(512, 1, 1)                        | 46     | 12.34375
391   |   - Dispatch(2048, 1, 1)                       | 47     | 127.86458
400   |   - Dispatch(2048, 1, 1)                       | 48     | 91.09375
409   |   - Dispatch(1024, 1, 1)                       | 49     | 67.44792
418   |   - Dispatch(512, 54, 1)                       | 50     | 2311.19792
427   |   - Dispatch(512, 2, 1)                        | 51     | 4726.71875
436   |   - Dispatch(512, 2, 1)                        | 52     | 33.85417
442   |   - Dispatch(1024, 1, 1)                       | 53     | 20.15625
451   |   - Dispatch(512, 18, 1)                       | 54     | 669.01042
460   |   - Dispatch(512, 2, 1)                        | 55     | 1374.375
469   |   - Dispatch(512, 2, 1)                        | 56     | 42.8125
475   |   - Dispatch(1024, 1, 1)                       | 57     | 18.4375
484   |   - Dispatch(4096, 1, 1)                       | 58     | 249.73958
493   |   - Dispatch(4096, 1, 1)                       | 59     | 259.73958
502   |   - Dispatch(2048, 1, 1)                       | 60     | 143.75
511   |   - Dispatch(2048, 27, 1)                      | 61     | 4451.45833
520   |   - Dispatch(2048, 1, 1)                       | 62     | 5406.14583
529   |   - Dispatch(2048, 1, 1)                       | 63     | 60.83333
535   |   - Dispatch(2048, 1, 1)                       | 64     | 43.90625
544   |   - Dispatch(2048, 9, 1)                       | 65     | 1383.48958
553   |   - Dispatch(2048, 1, 1)                       | 66     | 1628.95833
562   |   - Dispatch(2048, 1, 1)                       | 67     | 61.71875
568   |   - Dispatch(2048, 1, 1)                       | 68     | 38.02083
577   |   - Dispatch(2048, 1, 1)                       | 69     | 153.4375
586   |   - Dispatch(2048, 1, 1)                       | 70     | 170.98958
595   |   - Dispatch(2048, 1, 1)                       | 71     | 30.00
604   |   - Dispatch(128, 1, 1)                        | 72     | 9.73958
613   |   - Dispatch(1, 1, 1)                          | 73     | 2940.15625
617   |   - CopyResource(Buffer 356, Buffer 353)       | 74     | 6.77083
624   |   - Dispatch(128, 1, 1)                        | 75     | 19051.14583
633   |   - Dispatch(128, 1, 1)                        | 76     | 10.46875
642   |   - Dispatch(2048, 1, 1)                       | 77     | 26.5625
651   |   - Dispatch(16, 1, 1)                         | 78     | 207.60417
660   |   - Dispatch(1, 1, 1)                          | 79     | 62.55208
669   |   - Dispatch(2048, 1, 1)                       | 80     | 169.63542
678   |   - Dispatch(2048, 1, 1)                       | 81     | 203.38542
687   |   - Dispatch(2048, 1, 1)                       | 82     | 167.70833
696   |   - Dispatch(2048, 1, 1)                       | 83     | 48.48958
705   |   - Dispatch(9, 1, 1)                          | 84     | 6182.44792
714   |   - Dispatch(16, 1, 1)                         | 85     | 67.65625
723   |   - Dispatch(512, 3, 1)                        | 86     | 2184.11458
732   |   - Dispatch(2048, 1, 1)                       | 87     | 976.92708
741   |   - Dispatch(2048, 1, 1)                       | 88     | 190.78125
750   |   - Dispatch(2048, 1, 1)                       | 89     | 61.25
759   |   - Dispatch(27, 1, 1)                         | 90     | 8966.51042
768   |   - Dispatch(16, 1, 1)                         | 91     | 74.375
777   |   - Dispatch(512, 7, 1)                        | 92     | 5082.23958
786   |   - Dispatch(6144, 1, 1)                       | 93     | 3321.875
795   |   - Dispatch(4096, 1, 1)                       | 94     | 264.6875
804   |   - Dispatch(2048, 1, 1)                       | 95     | 130.00
813   |   - Dispatch(1024, 1, 1)                       | 96     | 139.84375
822   |   - Dispatch(1024, 1, 1)                       | 97     | 75.88542
831   |   - Dispatch(512, 2, 1)                        | 98     | 36.04167
840   |   - Dispatch(18, 2, 1)                         | 99     | 3206.875
849   |   - Dispatch(32, 1, 1)                         | 100    | 26.5625
858   |   - Dispatch(128, 5, 1)                        | 101    | 887.34375
867   |   - Dispatch(1024, 1, 1)                       | 102    | 358.59375
876   |   - Dispatch(1024, 1, 1)                       | 103    | 68.80208
885   |   - Dispatch(512, 2, 1)                        | 104    | 42.96875
894   |   - Dispatch(54, 2, 1)                         | 105    | 7685.9375
903   |   - Dispatch(32, 1, 1)                         | 106    | 31.875
912   |   - Dispatch(128, 14, 1)                       | 107    | 2526.97917
921   |   - Dispatch(3072, 1, 1)                       | 108    | 1440.57292
930   |   - Dispatch(2048, 1, 1)                       | 109    | 105.9375
939   |   - Dispatch(1024, 1, 1)                       | 110    | 47.70833
948   |   - Dispatch(512, 1, 1)                        | 111    | 52.65625
957   |   - Dispatch(512, 1, 1)                        | 112    | 37.13542
966   |   - Dispatch(128, 4, 1)                        | 113    | 21.66667
975   |   - Dispatch(9, 1, 1)                          | 114    | 1077.70833
984   |   - Dispatch(64, 1, 1)                         | 115    | 16.45833
993   |   - Dispatch(32, 9, 1)                         | 116    | 851.82292
1002  |   - Dispatch(512, 1, 1)                        | 117    | 159.01042
1011  |   - Dispatch(512, 1, 1)                        | 118    | 36.51042
1020  |   - Dispatch(128, 4, 1)                        | 119    | 17.70833
1029  |   - Dispatch(27, 1, 1)                         | 120    | 2901.61458
1038  |   - Dispatch(64, 1, 1)                         | 121    | 16.97917
1047  |   - Dispatch(32, 27, 1)                        | 122    | 2459.79167
1056  |   - Dispatch(1536, 1, 1)                       | 123    | 822.70833
1065  |   - Dispatch(1024, 1, 1)                       | 124    | 48.4375
1074  |   - Dispatch(512, 1, 1)                        | 125    | 25.57292
1083  |   - Dispatch(256, 1, 1)                        | 126    | 30.05208
1092  |   - Dispatch(256, 1, 1)                        | 127    | 23.95833
1101  |   - Dispatch(32, 8, 1)                         | 128    | 13.75
1110  |   - Dispatch(18, 2, 1)                         | 129    | 1013.4375
1119  |   - Dispatch(128, 1, 1)                        | 130    | 17.03125
1128  |   - Dispatch(8, 18, 1)                         | 131    | 971.40625
1137  |   - Dispatch(256, 1, 1)                        | 132    | 87.50
1146  |   - Dispatch(256, 1, 1)                        | 133    | 26.09375
1155  |   - Dispatch(32, 8, 1)                         | 134    | 18.17708
1164  |   - Dispatch(9, 2, 1)                          | 135    | 614.375
1173  |   - Dispatch(128, 1, 1)                        | 136    | 21.09375
1182  |   - Dispatch(8, 9, 1)                          | 137    | 546.97917
1191  |   - Dispatch(128, 1, 1)                        | 138    | 59.84375
1194  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 139    | 25.26042
1803  | - Compute Pass #2                              | 140-153 | 4276.14583
1201  |  \- Dispatch(1, 1, 128)                        | 140    | 22.70833
1210  |   - Dispatch(512, 1, 1)                        | 141    | 37.60417
1219  |   - Dispatch(512, 1, 1)                        | 142    | 53.4375
